case_id,generation_sequence,attempt_count,retry_reason,timestamp_utc,model,model_digest,prompt_hash,input_hash,status,parse_status,parse_error,latency_seconds,prompt_eval_count,eval_count
DA-EVAL-V02-00106,1,1,,2026-08-30T18:21:39.862103+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,b0f5557d8cdfdd836d5c82782bd0c03f2875baf2df02d50a53a9248846dacc8b,completed,parsed_json_object,,55.63455010007601,3904,3075
DA-EVAL-V02-00675,2,1,,2026-08-30T18:22:35.501277+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,e5bfd2a553a3e15957e62a3881e9c4d0f27f8a9fc365d4eb4feb59f831e8ccbf,completed,parsed_json_object,,33.466259100008756,3956,1921
DA-EVAL-V02-00676,3,1,,2026-08-30T18:23:08.969711+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,60fb59b39e190f9614837c7300ede50f861b132ecbd33c5c1bca583a76f7b607,completed,parsed_json_object,,46.9290306000039,3955,2666
DA-EVAL-V02-00677,4,1,,2026-08-30T18:23:55.902295+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,5f0599fe661c8fb48a3053fd9a6e22b39ecc51d6127dc817b41dc5bc5706fcfd,completed,parsed_json_object,,44.02931849996094,3946,2528
DA-EVAL-V02-00680,5,1,,2026-08-30T18:24:39.934399+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,f02a834a663ee01f62c3437462335dfc43364e0091dd5310b9a835e34ada764b,completed,parsed_json_object,,31.481062899925746,3903,1801
DA-EVAL-V02-00681,6,1,,2026-08-30T18:25:11.418033+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,c22a716dc571913fe46362bf4a58f29b0ca2323f0222bbc5c362b1ebd1a721d9,completed,parsed_json_object,,30.568402500008233,3782,1752
DA-EVAL-V02-00686,7,1,,2026-08-30T18:25:41.989646+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,e9848305ac3721be28062889779de7c8bb9d49e2223870dfca60da0a85991b89,completed,parsed_json_object,,51.74548739998136,3952,2941
DA-EVAL-V02-00887,8,1,,2026-08-30T18:26:33.737685+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,7bc8ecf1e79a6943418881cdf44a4dd159ba26c2206051c7f0e89e028b37bebb,completed,parsed_json_object,,26.241844000061974,3323,1514
DA-EVAL-V02-00888,9,1,,2026-08-30T18:26:59.982166+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,c9d209b3d8b21cd44ec4d171ff4e8dce65b8c3eab0832dc6b48d05b753042459,completed,parsed_json_object,,28.029048700002022,3321,1626
DA-EVAL-V02-00889,10,1,,2026-08-30T18:27:28.013189+00:00,qwen2.5:7b-instruct,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,1b56ba51863df4d73c8cd882d9154d32df3339a6292d4f72f61d400876f8b1d0,66b7011cf36c3de564a436b070fecb737d473acaa5b6e04c4731540702769bd1,completed,parsed_json_object,,27.223517299978994,3325,1566
