case_id,id_unico,nandina_ref,candidate_rank,candidate_doc_id,candidate_code,candidate_partida,candidate_sub_partida,candidate_clase,score,candidate_text,is_reference_code,method
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,1,NANDINA_39173210,39173210,3917,391732,39,21.311974833146948,"Tripas artificiales, excepto las de la subpartida 3917.10.00 Tripas artificiales, excepto las de la subpartida 3917.10.00.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,2,NANDINA_48059130,48059130,4805,480591,48,19.80210979088056,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,3,NANDINA_48059220,48059220,4805,480592,48,19.80210979088056,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,4,NANDINA_48059320,48059320,4805,480593,48,19.80210979088056,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,5,NANDINA_72022100,72022100,7202,720221,72,19.774251289715778,Con un contenido de silicio superior al 55 % en peso Con un contenido de silicio superior al 55 % en peso.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,6,NANDINA_85122010,85122010,8512,851220,85,18.49202640147855,Faros de carretera (excepto faros «sellados» de la subpartida 8539.10.00) Faros de carretera (excepto faros «sellados» de la subpartida 8539.10.00).,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,7,NANDINA_84213100,84213100,8421,842131,84,16.431811858585938,Filtros de entrada de aire para motores de encendido por chispa o Filtros de entrada de aire para motores de encendido por chispa o.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,8,NANDINA_85113092,85113092,8511,851130,85,10.988949208231416,Bobinas de encendido Bobinas de encendido.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,9,NANDINA_27101292,27101292,2710,271012,27,10.214432063009113,"- Carburorreactores tipo gasolina, para reactores y turbinas - Carburorreactores tipo gasolina, para reactores y turbinas.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,10,NANDINA_09023000,09023000,0902,090230,09,9.449305809941608,"Té negro (fermentado) y té parcialmente fermentado, presentados en envases Té negro (fermentado) y té parcialmente fermentado, presentados en envases.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,11,NANDINA_09024000,09024000,0902,090240,09,9.449305809941608,"Té negro (fermentado) y té parcialmente fermentado, presentados de otra Té negro (fermentado) y té parcialmente fermentado, presentados de otra.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,12,NANDINA_85167100,85167100,8516,851671,85,8.998310100179227,Aparatos para la preparación de café o té Aparatos para la preparación de café o té.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,13,NANDINA_26202100,26202100,2620,262021,26,8.52820775205233,Lodos de gasolina con plomo y lodos de compuestos antidetonantes con Lodos de gasolina con plomo y lodos de compuestos antidetonantes con.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,14,NANDINA_12092400,12092400,1209,120924,12,8.382245205802231,De pasto azul de Kentucky (Poa pratensis L.) De pasto azul de Kentucky (Poa pratensis L.).,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,15,NANDINA_85332100,85332100,8533,853321,85,8.272152253747354,De potencia inferior o igual a 20 W De potencia inferior o igual a 20 W.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,16,NANDINA_84212300,84212300,8421,842123,84,8.023011620523196,Para filtrar lubricantes o carburantes en los motores de encendido por Para filtrar lubricantes o carburantes en los motores de encendido por.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,17,NANDINA_69021000,69021000,6902,690210,69,7.78574008628709,"Con un contenido de los elementos Mg (magnesio), Ca (calcio) o Cr (cromo), Con un contenido de los elementos Mg (magnesio), Ca (calcio) o Cr (cromo),.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,18,NANDINA_20092100,20092100,2009,200921,20,7.527929221568307,De valor Brix inferior o igual a 20 De valor Brix inferior o igual a 20.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,19,NANDINA_20093100,20093100,2009,200931,20,7.527929221568307,De valor Brix inferior o igual a 20 De valor Brix inferior o igual a 20.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,20,NANDINA_20094100,20094100,2009,200941,20,7.527929221568307,De valor Brix inferior o igual a 20 De valor Brix inferior o igual a 20.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,21,NANDINA_20097100,20097100,2009,200971,20,7.527929221568307,De valor Brix inferior o igual a 20 De valor Brix inferior o igual a 20.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,22,NANDINA_09022000,09022000,0902,090220,09,7.512846282430729,Té verde (sin fermentar) presentado de otra forma Té verde (sin fermentar) presentado de otra forma.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,23,NANDINA_87012100,87012100,8701,870121,87,7.360782083033397,"Únicamente con motor de émbolo (pistón), de encendido por compresión Únicamente con motor de émbolo (pistón), de encendido por compresión.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,24,NANDINA_87012200,87012200,8701,870122,87,7.360782083033397,"Equipados para la propulsión con motor de émbolo (pistón), de encendido Equipados para la propulsión con motor de émbolo (pistón), de encendido.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,25,NANDINA_87012300,87012300,8701,870123,87,7.360782083033397,"Equipados para la propulsión con motor de émbolo (pistón), de encendido Equipados para la propulsión con motor de émbolo (pistón), de encendido.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,26,NANDINA_03019400,03019400,0301,030194,03,7.103991611048982,"Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,27,NANDINA_03023500,03023500,0302,030235,03,7.103991611048982,"Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
