case_id,candidate_position_before,candidate_code,candidate_source,candidate_score,candidate_source_rank,evidence_provenance
DA-EVAL-V02-00001,1,87032390,historical,76.6477018869936,historical:1,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,2,87032290,historical,70.23602801542937,historical:2,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,3,87038090,historical,59.20316624724474,historical:3,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,4,87032410,historical,55.54153520986919,historical:4,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,5,87032100,historical,50.12039270973765,historical:5,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,6,87116000,historical,49.04019072726361,historical:6,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,7,87031000,historical,47.99610093691293,historical:7,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,8,87034090,historical,47.35572965366818,historical:8,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,9,87032310,historical,41.2501815654056,historical:9,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,10,87046090,historical,38.67329775238947,historical:10,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,11,87042220,historical|normative_pool_phase_e,38.45341704941641,historical:11|normative_pool_phase_e:64,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,12,87046010,historical|normative_pool_phase_e,37.90439246670125,historical:12|normative_pool_phase_e:85,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,13,87024090,historical,30.51225101435204,historical:13,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,14,87042110,historical|normative_pool_phase_e,27.72635390651648,historical:14|normative_pool_phase_e:26,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,15,87087010,historical,12.701956325890086,historical:15,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,16,87149400,historical,11.208131590994112,historical:16,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,17,87081000,historical,9.634305098114249,historical:17,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,18,87141090,historical,8.993161627023868,historical:18,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,19,87089391,historical,7.831477535405022,historical:19,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,20,87084090,historical,7.706607942484173,historical:20,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,21,87089999,historical,7.654246361345443,historical:21,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,22,87083029,historical,7.435005236377788,historical:22,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,23,87082990,historical,7.206672930763745,historical:23,historical_bm25_and_or_approved_phase_e_normative_pool
DA-EVAL-V02-00001,24,87149900,historical,7.1695686110715116,historical:24,historical_bm25_and_or_approved_phase_e_normative_pool
