case_id,nandina_ref,candidate_rank,candidate_raw_rank,candidate_code,candidate_doc_id,score
DA-EVAL-V02-00001,87032410,30,32,87044110,NANDINA_87044110,13.564440242439181
DA-EVAL-V02-00001,87032410,31,33,87045110,NANDINA_87045110,13.564440242439181
DA-EVAL-V02-00002,87032290,121,121,87044110,NANDINA_87044110,13.564440242439181
DA-EVAL-V02-00002,87032290,122,122,87045110,NANDINA_87045110,13.564440242439181
DA-EVAL-V02-00003,87032290,60,60,87044110,NANDINA_87044110,13.564440242439181
DA-EVAL-V02-00003,87032290,61,61,87045110,NANDINA_87045110,13.564440242439181
DA-EVAL-V02-00004,87032290,122,122,87044110,NANDINA_87044110,13.564440242439181
DA-EVAL-V02-00004,87032290,123,123,87045110,NANDINA_87045110,13.564440242439181
DA-EVAL-V02-00017,87089929,13,13,87044110,NANDINA_87044110,23.953870899510424
DA-EVAL-V02-00017,87089929,14,14,87045110,NANDINA_87045110,23.953870899510424
DA-EVAL-V02-00026,87089100,175,175,87044110,NANDINA_87044110,5.42241684577523
DA-EVAL-V02-00026,87089100,176,176,87045110,NANDINA_87045110,5.42241684577523
DA-EVAL-V02-00027,87089999,185,185,87044110,NANDINA_87044110,5.42241684577523
DA-EVAL-V02-00027,87089999,186,186,87045110,NANDINA_87045110,5.42241684577523
DA-EVAL-V02-00029,87089999,63,63,87044110,NANDINA_87044110,9.303980677919919
DA-EVAL-V02-00029,87089999,64,64,87045110,NANDINA_87045110,9.303980677919919
DA-EVAL-V02-00095,87082920,25,25,87044110,NANDINA_87044110,15.605055500138604
DA-EVAL-V02-00095,87082920,26,26,87045110,NANDINA_87045110,15.605055500138604
DA-EVAL-V02-00106,87032390,66,68,87044110,NANDINA_87044110,13.564440242439181
DA-EVAL-V02-00106,87032390,67,69,87045110,NANDINA_87045110,13.564440242439181
DA-EVAL-V02-00107,87032290,40,40,87044110,NANDINA_87044110,18.986857088214414
DA-EVAL-V02-00107,87032290,41,41,87045110,NANDINA_87045110,18.986857088214414
DA-EVAL-V02-00112,87032290,32,32,87044110,NANDINA_87044110,18.986857088214414
DA-EVAL-V02-00112,87032290,33,33,87045110,NANDINA_87045110,18.986857088214414
DA-EVAL-V02-00113,87032290,32,32,87044110,NANDINA_87044110,18.986857088214414
DA-EVAL-V02-00113,87032290,33,33,87045110,NANDINA_87045110,18.986857088214414
DA-EVAL-V02-00126,87082920,132,132,87044110,NANDINA_87044110,16.267250537325694
DA-EVAL-V02-00126,87082920,133,133,87045110,NANDINA_87045110,16.267250537325694
